sample_size,repetition,sample_mean
n = 5,425,21.730009852712794
n = 5,426,27.252836217233842
n = 5,427,32.415283133141756
n = 5,428,35.74827136268389
n = 5,429,14.8167478608706
n = 5,430,19.26693580851973
n = 5,431,15.770636296234704
n = 5,432,15.14486121918781
n = 5,433,19.566615129515675
n = 5,434,18.924306557426693
n = 5,435,38.53103748139613
n = 5,436,30.017469779262925
n = 5,437,34.9141438329132
n = 5,438,11.531599147013367
n = 5,439,18.89809195607099
n = 5,440,7.335142932140724
n = 5,441,34.563909198590345
n = 5,442,36.037856746153786
n = 5,443,27.123876744689365
n = 5,444,33.43559565498021
n = 5,445,28.88815444315844
n = 5,446,22.66809091461797
n = 5,447,34.20814207699891
n = 5,448,24.709499451582424
n = 5,449,25.48203577457668
n = 5,450,26.394599378359345
n = 5,451,30.868978923647827
n = 5,452,19.043556989676027
n = 5,453,23.261773398719537
n = 5,454,10.121986819519531
n = 5,455,10.557823554951007
n = 5,456,25.094539738854845
n = 5,457,30.331212871128773
n = 5,458,11.527165333433185
n = 5,459,29.089329630956925
n = 5,460,14.663253555651114
n = 5,461,21.30665174713057
n = 5,462,19.01750559398651
n = 5,463,23.165718852072338
n = 5,464,24.540364117799964
n = 5,465,23.697692709126432
n = 5,466,15.440711528097655
n = 5,467,39.16060444652854
n = 5,468,19.075878275164232
n = 5,469,17.778232529104063
n = 5,470,28.155591483902402
n = 5,471,35.09588381247716
n = 5,472,22.728890661902906
n = 5,473,39.36865444283157
n = 5,474,27.18526316202647
n = 5,475,46.10546169496882
n = 5,476,21.690600414483036
n = 5,477,33.92739610371932
n = 5,478,10.59175930018507
n = 5,479,17.729783854227346
n = 5,480,42.38788602234976
n = 5,481,42.35226701276649
n = 5,482,34.706387619512306
n = 5,483,15.664029444851371
n = 5,484,9.878173402058676
n = 5,485,10.397427060011545
n = 5,486,11.6170004100017
n = 5,487,21.441610091022635
n = 5,488,22.077964868390872
n = 5,489,33.84141230014457
n = 5,490,8.63780533579264
n = 5,491,24.072339810661358
n = 5,492,19.88261202371392
n = 5,493,12.00996905557789
n = 5,494,60.70464502304439
n = 5,495,13.744886140072751
n = 5,496,34.78032101776781
n = 5,497,25.670791226092
n = 5,498,8.578225554222543
n = 5,499,39.94063634216109
n = 5,500,32.18570325080941
n = 30,1,24.013782402166303
n = 30,2,39.071390839908986
n = 30,3,36.261745478773356
n = 30,4,29.75068297706501
n = 30,5,26.999314067234316
n = 30,6,29.269203903075308
n = 30,7,21.68113014267454
n = 30,8,29.269511482264285
n = 30,9,24.984880434724555
n = 30,10,30.81471304733323
n = 30,11,24.632891464363368
n = 30,12,25.0478154083896
n = 30,13,27.314246669356507
n = 30,14,32.31306789317885
n = 30,15,21.214602806789795
n = 30,16,31.005750420218458
n = 30,17,22.403816583578294
n = 30,18,27.13446923927556
n = 30,19,25.97984404333247
n = 30,20,25.874573115444495
n = 30,21,18.507230984296463
n = 30,22,19.28794583509673
n = 30,23,29.622682443942782
n = 30,24,30.795699242172436
n = 30,25,28.425554807072544
n = 30,26,21.08110030277149
n = 30,27,34.86693271066354
n = 30,28,31.04361869103177
n = 30,29,27.44711639620754
n = 30,30,28.88967878918081
n = 30,31,38.78546667545433
n = 30,32,23.091919190745582
n = 30,33,18.105628398561947
n = 30,34,32.65851387098428
n = 30,35,23.68553356092386
n = 30,36,17.84234953335999
n = 30,37,30.896518205451365
n = 30,38,21.213592382245768
n = 30,39,26.27993628890354
n = 30,40,20.334996502268265
n = 30,41,34.82478007026497
n = 30,42,22.480965542936342
n = 30,43,23.778898094508676
n = 30,44,23.297666796168098
n = 30,45,27.454969167995937
n = 30,46,37.800258547673465
n = 30,47,25.759762992421575
n = 30,48,22.221420120522243
n = 30,49,26.778242267624435
n = 30,50,28.709631944487185
n = 30,51,21.34948466536613
n = 30,52,22.414623898520677
n = 30,53,23.017944407227354
n = 30,54,20.316773362659987
n = 30,55,20.588094012452157
n = 30,56,35.35818022493043
n = 30,57,30.0930715746415
n = 30,58,22.49102516668353
n = 30,59,24.317726034597307
n = 30,60,27.819543309006104
n = 30,61,24.014093690437075
n = 30,62,32.40957913526963
n = 30,63,27.10324829783226
n = 30,64,25.37816664440081
n = 30,65,35.06724836027125
n = 30,66,26.082136647416586
n = 30,67,23.13724030313983
n = 30,68,24.950758808848125
n = 30,69,19.5062222427382
n = 30,70,28.05910361697892
n = 30,71,30.83455416578366
n = 30,72,18.072603379080764
n = 30,73,24.565173970884068
n = 30,74,32.25576643067684
n = 30,75,29.471760370391962
n = 30,76,29.03296808396902
n = 30,77,22.609771511878485
n = 30,78,31.391361003531575
n = 30,79,24.936902438322228
n = 30,80,18.785988023826906
n = 30,81,23.349461729147876
n = 30,82,36.25379708870837
n = 30,83,26.625007872700223
n = 30,84,18.470186971260485
n = 30,85,30.38070661000889
n = 30,86,32.36682631737051
n = 30,87,40.44691195564709
n = 30,88,21.519818787165555
n = 30,89,29.67361586167834
n = 30,90,27.483377116657607
n = 30,91,25.060146990368334
n = 30,92,23.282412188193494
n = 30,93,35.13410920164497
n = 30,94,21.685907378339742
n = 30,95,26.483680538014163
n = 30,96,24.90091226092129
n = 30,97,27.541826919335467
n = 30,98,26.210522856218365
n = 30,99,36.94792357123437
n = 30,100,20.260291662333092
n = 30,101,31.962685490473525
n = 30,102,22.300386659043472
n = 30,103,31.700093693721072
n = 30,104,22.071506445851735
n = 30,105,28.272614686102592
n = 30,106,23.012049177153145
n = 30,107,22.14203823822507
n = 30,108,31.189392004637686
n = 30,109,29.36248775375836
n = 30,110,25.509159564174965
n = 30,111,25.681695881578516
n = 30,112,24.737338955760013
n = 30,113,23.738185377232593
n = 30,114,22.267302484115493
n = 30,115,26.423148719513886
n = 30,116,19.82405671061499
n = 30,117,23.292125109778446
n = 30,118,17.135867797194837
n = 30,119,26.51321080770783
n = 30,120,27.309254756121426
n = 30,121,32.509277929159886
n = 30,122,31.928944866498945
n = 30,123,13.172773796586302
n = 30,124,25.510852776373646
n = 30,125,27.808664491789852
n = 30,126,22.42288779106665
n = 30,127,22.967343777840444
n = 30,128,28.31225811697861
n = 30,129,25.656820028114147
n = 30,130,26.84963574016992
n = 30,131,30.12453006660667
n = 30,132,23.502343795161533
n = 30,133,29.398008112449293
n = 30,134,21.300230208991636
n = 30,135,23.245724336328227
n = 30,136,18.276447358633945
n = 30,137,21.795808911828683
n = 30,138,30.710330079140054
n = 30,139,21.661009613525607
n = 30,140,31.184870635494974
n = 30,141,26.011876718063288
n = 30,142,28.128563475779046
n = 30,143,26.87922065642942
n = 30,144,26.89805653208987
n = 30,145,26.458045559439718
n = 30,146,31.075920298642597
n = 30,147,20.822780265906207
n = 30,148,26.38560263790523
n = 30,149,25.179320442211775
n = 30,150,30.437432626253198
n = 30,151,24.87806688573543
n = 30,152,25.576538718878975
n = 30,153,27.526552442691692
n = 30,154,26.838457924047237
n = 30,155,23.561365326741676
n = 30,156,25.236520131351313
n = 30,157,37.58183072627803
n = 30,158,27.348861416435597
n = 30,159,28.844074382989024
n = 30,160,23.456698605495696
n = 30,161,32.22853089927299
n = 30,162,26.52498635210349
n = 30,163,24.40209109706741
n = 30,164,17.590268486319992
n = 30,165,29.606133613655714
n = 30,166,32.78636303545702
n = 30,167,17.106629411547203
n = 30,168,19.60159613601522
n = 30,169,25.092008750287345
n = 30,170,27.180858808093376
n = 30,171,26.696971825136256
n = 30,172,28.133260153751095
n = 30,173,24.209355270336882
n = 30,174,24.750111038808058
n = 30,175,29.611204221831766
n = 30,176,32.58186998133346
n = 30,177,28.668099648318353
n = 30,178,29.7581523931198
n = 30,179,27.828018177015732
n = 30,180,25.21809805288544
n = 30,181,33.06884716222509
n = 30,182,18.757603664505528
n = 30,183,28.66299605020574
n = 30,184,26.36385629166677
n = 30,185,28.345736085927644
n = 30,186,26.418956408536328
n = 30,187,30.873847753600497
n = 30,188,27.33736295870435
n = 30,189,21.08058557987521
n = 30,190,29.714172147739642
n = 30,191,32.404086179700954
n = 30,192,25.435662848036568
n = 30,193,27.20582490770641
n = 30,194,21.158359451956137
n = 30,195,28.10462832690656
n = 30,196,22.564175607996745
n = 30,197,26.897121415806517
n = 30,198,25.409190187187036
n = 30,199,29.931844466395894
n = 30,200,39.60352359532796
n = 30,201,30.02332162967205
n = 30,202,33.131229153046284
n = 30,203,17.03316280340906
n = 30,204,19.318896468715142
n = 30,205,26.211197588716757
n = 30,206,31.97920115901742
n = 30,207,25.54831829423082
n = 30,208,30.073191925397477
n = 30,209,30.115848680422186
n = 30,210,20.9672910322703
n = 30,211,22.84812578026351
n = 30,212,22.242253757250655
n = 30,213,30.50534152796626
n = 30,214,20.77925026524405
n = 30,215,28.56817335650651
n = 30,216,17.815347807861293
n = 30,217,12.877971498560823
n = 30,218,26.755361211422255
n = 30,219,25.669224130554852
n = 30,220,30.475974504034777
n = 30,221,27.0689543642521
n = 30,222,17.535990112915368
n = 30,223,28.788536309865844
n = 30,224,22.77272613077385
n = 30,225,28.502755124028308
n = 30,226,32.115161939230866
n = 30,227,23.63243991781467
n = 30,228,35.56980818556874
n = 30,229,22.640758083610468
n = 30,230,22.96932704062579
n = 30,231,20.61677006528156
n = 30,232,24.35987249003671
n = 30,233,25.734005590549515
n = 30,234,26.501260041740068
n = 30,235,25.83245279875081
n = 30,236,23.28590284225402
n = 30,237,39.01222167290096
n = 30,238,23.43093056449603
n = 30,239,25.02109597505169
n = 30,240,24.30864783527253
n = 30,241,23.825898407921564
n = 30,242,31.504880343121492
n = 30,243,24.308638137644788
n = 30,244,37.49618799932648
n = 30,245,19.018298050784857
n = 30,246,31.818073375619655
n = 30,247,33.987521348314395
n = 30,248,29.55272431541055
n = 30,249,25.94343095147636
n = 30,250,26.703780783217447
n = 30,251,24.64415510218235
n = 30,252,28.956814764349996
n = 30,253,27.505202505359353
n = 30,254,18.932186299533498
n = 30,255,28.13413275321264
n = 30,256,23.176166003867255
n = 30,257,28.000917657584502
n = 30,258,21.322490211128084
n = 30,259,27.50159788321704
n = 30,260,34.058318774164476
n = 30,261,24.538557415977323
n = 30,262,21.796553660720377
n = 30,263,15.14899007160342
n = 30,264,21.283986235811128
n = 30,265,29.62826693622793
n = 30,266,23.438923146864557
n = 30,267,22.999395175969774
n = 30,268,21.715696056833114
n = 30,269,29.54718546093852
n = 30,270,25.17626422661992
n = 30,271,22.59497712577827
n = 30,272,21.71342400254684
n = 30,273,39.821223875477905
n = 30,274,25.67328671439867
n = 30,275,23.954954495365524
n = 30,276,33.899091822888735
n = 30,277,28.230619271368628
n = 30,278,28.889723213850523
n = 30,279,24.271719092120662
n = 30,280,30.180493469952975
n = 30,281,27.244559558082344
n = 30,282,22.63831962086257
n = 30,283,36.931858336121486
n = 30,284,25.885195633983415
n = 30,285,21.20921960457734
n = 30,286,22.769593629352748
n = 30,287,21.019049368530258
n = 30,288,28.725471439969493
n = 30,289,29.187289153187912
n = 30,290,32.15585216205231
n = 30,291,21.969664981120292
n = 30,292,20.991051856671117
n = 30,293,27.27718574904206
n = 30,294,30.75048675569112
n = 30,295,18.157989162146645
n = 30,296,24.023882659350754
n = 30,297,25.419877941675487
n = 30,298,23.34844401602705
n = 30,299,29.775923193056094
n = 30,300,27.557499756087097
n = 30,301,33.75872617060706
n = 30,302,29.287079746721385
n = 30,303,27.787888446633744
n = 30,304,26.46144607426604
n = 30,305,30.19986060306567
n = 30,306,18.545981767197183
n = 30,307,27.927692029001022
n = 30,308,33.125912415484855
n = 30,309,32.29647034521732
n = 30,310,20.65575909940739
n = 30,311,29.94506306388179
n = 30,312,29.18572793799011
n = 30,313,18.753386194478296
n = 30,314,38.66188385913122
n = 30,315,25.760981516698337
n = 30,316,25.1719777212738
n = 30,317,19.674064601214013
n = 30,318,25.68084610925189
n = 30,319,15.40314586228886
n = 30,320,25.078596912901844
n = 30,321,31.040150726477364
n = 30,322,25.743412217956838
n = 30,323,19.153219095933757
n = 30,324,26.54296198739734
n = 30,325,21.14383348212723
n = 30,326,27.02749074146379
n = 30,327,26.19036467673478
n = 30,328,29.16961729629534
n = 30,329,19.997432627117355
n = 30,330,28.093236695952942
n = 30,331,15.371633013059032
n = 30,332,28.487371107872114
n = 30,333,26.099362396019657
n = 30,334,19.107630222139733
n = 30,335,23.322295426989363
n = 30,336,25.31944674867168
n = 30,337,26.44301996378022
n = 30,338,23.506023189425054
n = 30,339,30.45688756627645
n = 30,340,25.015066433611548
n = 30,341,32.37626087160459
n = 30,342,25.94065590162612
n = 30,343,32.64715911530348
n = 30,344,27.443898997391667
n = 30,345,33.56067451335138
n = 30,346,21.65259290929171
n = 30,347,27.41934896044893
n = 30,348,27.32545390609616
n = 30,349,23.593890241463143
n = 30,350,25.23595782806464
n = 30,351,21.34349704391107
n = 30,352,27.504964160300847
n = 30,353,33.208964210029194
n = 30,354,19.218032224472193
n = 30,355,25.842091520375252
n = 30,356,32.9972512722153
n = 30,357,22.036180326207553
n = 30,358,30.50737427575106
n = 30,359,17.73524298480681
n = 30,360,31.63799082304187
n = 30,361,35.802214541101726
n = 30,362,22.419240528337973
n = 30,363,28.219346115814925
n = 30,364,18.881753923555888
n = 30,365,21.05238817203323
n = 30,366,28.68526092981764
n = 30,367,21.52925059296591
n = 30,368,31.545164191044144
n = 30,369,32.51295788438356
n = 30,370,35.68603574787771
n = 30,371,30.47674689303111
n = 30,372,19.281622301933233
n = 30,373,30.1441796189642
n = 30,374,29.752150460033025
n = 30,375,24.37404624845082
n = 30,376,22.645995561528807
n = 30,377,19.986413107421484
n = 30,378,27.064712393861313
n = 30,379,26.41627745846937
n = 30,380,21.930044814182157
n = 30,381,23.65457764537959
n = 30,382,37.27971812403044
n = 30,383,26.928910593464735
n = 30,384,28.765037522763258
n = 30,385,32.33193194349768
n = 30,386,28.6281419316718
n = 30,387,28.78214476359433
n = 30,388,28.262772741725975
n = 30,389,30.758708284604964
n = 30,390,23.82301151399468
n = 30,391,25.10233493558129
n = 30,392,28.418240538186026
n = 30,393,23.01735761065799
n = 30,394,35.14864994846938
n = 30,395,28.939121445498472
n = 30,396,23.9112711913943
n = 30,397,24.757176139946136
n = 30,398,30.285044824590898
n = 30,399,23.10536976766364
n = 30,400,30.734330714524216
n = 30,401,29.74989846856642
n = 30,402,22.087363045201172
n = 30,403,22.15340056207554
n = 30,404,26.838864348441017
n = 30,405,18.229220725646414
n = 30,406,22.654390059991513
n = 30,407,22.49852144135965
n = 30,408,27.076615473674515
n = 30,409,26.277767669352876
n = 30,410,19.267983386192086
n = 30,411,27.049767607447972
n = 30,412,31.128710760663296
n = 30,413,19.652521815022265
n = 30,414,24.45383979793024
n = 30,415,16.983198551226153
n = 30,416,25.043848308255026
n = 30,417,28.268398181662096
n = 30,418,29.863613730854393
n = 30,419,21.173197589081656
n = 30,420,20.110155214850046
n = 30,421,32.21739972195716
n = 30,422,18.03345050816618
n = 30,423,26.961630515354297
n = 30,424,24.148104866506785
n = 30,425,22.342243417612394
n = 30,426,23.957625948617203
n = 30,427,33.42104192724246
n = 30,428,22.264761481175942
n = 30,429,32.88975133398828
n = 30,430,27.696387918316905
n = 30,431,39.43029657418086
