semana,ano,semana_ano,tendencia,sazonalidade,ruido,casos
84,2022,32,125.2,23.236158602188453,-1.813448063086342,147
85,2022,33,125.5,17.730244352126793,-17.914933427407924,125
86,2022,34,125.8,11.965783214377884,9.179953470605804,147
87,2022,35,126.1,6.0268340127661535,-3.2570976861978127,129
88,2022,36,126.4,-1.6081226496766367e-14,-2.741350594978826,124
89,2022,37,126.7,-6.026834012766141,14.000194928567401,135
90,2022,38,127,-11.965783214377872,12.326596657623737,127
91,2022,39,127.3,-17.730244352126782,20.881745639014063,130
92,2022,40,127.6,-23.236158602188404,-7.142608845820114,97
93,2022,41,127.9,-28.40323733655778,9.755228410894576,109
94,2022,42,128.2,-33.15613291203975,20.86665684585001,116
95,2022,43,128.5,-37.42553740855505,-16.661833191718483,74
96,2022,44,128.8,-41.14919329468282,-12.911888803167631,75
97,2022,45,129.1,-44.27280128266048,-16.97608021280655,68
98,2022,46,129.4,-46.75081213427074,-21.888209992535938,61
99,2022,47,129.7,-48.5470908713026,1.1997382986174177,82
100,2022,48,130,-49.6354437049027,9.79806509473785,90
101,2022,49,130.3,-50,18.014480633977414,98
102,2022,50,130.6,-49.6354437049027,15.671266307515879,97
103,2022,51,130.9,-48.54709087130261,-15.04812970259772,67
104,2022,52,131.2,-46.75081213427074,27.7272285250912,112
105,2023,1,131.5,-44.272801282660495,-10.001601131367257,77
106,2023,2,131.8,-41.14919329468282,1.5827071868410414,92
107,2023,3,132.1,-37.42553740855505,-6.33383822803284,88
108,2023,4,132.4,-33.15613291203976,-1.8352525793245698,97
109,2023,5,132.7,-28.40323733655779,2.8228955175224684,107
110,2023,6,133,-23.236158602188425,1.7874143699550957,112
111,2023,7,133.3,-17.730244352126782,-0.37638826301104317,115
112,2023,8,133.6,-11.965783214377886,1.6210909191304885,123
113,2023,9,133.9,-6.026834012766153,-7.281528537700016,121
114,2023,10,134.2,0,-7.563256960318553,127
115,2023,11,134.5,6.026834012766153,-24.91648619872218,116
116,2023,12,134.8,11.965783214377886,-5.735005903107269,141
117,2023,13,135.1,17.730244352126782,-7.6897538681670055,145
118,2023,14,135.4,23.236158602188425,40.52836500517197,199
119,2023,15,135.7,28.40323733655779,-20.431743467845777,144
120,2023,16,136,33.15613291203976,2.0588432783791037,171
121,2023,17,136.3,37.42553740855505,-22.404376009744357,151
122,2023,18,136.6,41.14919329468282,-22.05653612155195,156
123,2023,19,136.9,44.272801282660495,1.8705357929551019,183
124,2023,20,137.2,46.75081213427074,-14.949587023260559,169
125,2023,21,137.5,48.5470908713026,-0.02733921457062294,186
126,2023,22,137.8,49.6354437049027,-6.423883221387229,181
127,2023,23,138.1,50,-9.20507409674243,179
128,2023,24,138.4,49.6354437049027,-30.370167681286617,158
129,2023,25,138.7,48.54709087130261,-18.37121925539979,169
130,2023,26,139,46.75081213427074,2.6927466167690692,188
131,2023,27,139.3,44.272801282660495,8.514308916353029,192
132,2023,28,139.6,41.149193294682824,-7.393160303302121,173
133,2023,29,139.9,37.425537408555066,9.432609802668612e-4,177
134,2023,30,140.2,33.15613291203976,16.843344650699493,190
135,2023,31,140.5,28.40323733655779,21.59783614464285,191
136,2023,32,140.8,23.236158602188453,-16.456706526087324,148
137,2023,33,141.1,17.730244352126793,-1.7597934037526526,157
138,2023,34,141.4,11.965783214377884,18.02247601379552,171
139,2023,35,141.7,6.0268340127661535,-7.045943708494514,141
140,2023,36,142,-1.6081226496766367e-14,-0.787042274084945,141
141,2023,37,142.3,-6.026834012766141,-1.2916094735563433,135
142,2023,38,142.6,-11.965783214377872,-13.315185268596473,117
143,2023,39,142.9,-17.730244352126782,-6.670260073271072,118
144,2023,40,143.2,-23.236158602188404,-0.4416731863235722,120
145,2023,41,143.5,-28.40323733655778,-6.208032735868853,109
146,2023,42,143.8,-33.15613291203975,16.700790350523047,127
147,2023,43,144.1,-37.42553740855505,-7.214892624809728,99
148,2023,44,144.4,-41.14919329468282,-6.497535489010936,97
149,2023,45,144.7,-44.27280128266048,10.452938648281542,111
150,2023,46,145,-46.75081213427074,-15.845526197563622,82
151,2023,47,145.3,-48.5470908713026,-0.6104771272682239,96
152,2023,48,145.6,-49.6354437049027,-23.273172335213843,73
153,2023,49,145.9,-50,17.507543238535227,113
154,2023,50,146.2,-49.6354437049027,-4.10468552061121,92
155,2023,51,146.5,-48.54709087130261,-7.0176798700838035,91
156,2023,52,146.8,-46.75081213427074,-18.573784919793216,81
