week,observed,trend,seasonal,random
117,145,132.65384615384616,9.48363535502959,2.8625184911242627
118,199,132.75961538461542,54.54613535502958,11.694249260355008
119,144,132.98076923076928,22.29132766272187,-11.272096893491153
120,171,133.08653846153848,42.93075073964496,-5.017289201183445
121,151,133.43269230769232,34.118250739644964,-16.550943047337284
122,156,133.88461538461542,36.887481508875716,-14.772096893491124
123,183,134.5096153846154,38.41632766272189,10.074056952662716
124,169,135.125,39.579789201183424,-5.7047892011834165
125,186,135.46153846153848,54.33459689349111,-3.796135355029577
126,181,135.43269230769232,40.69036612426034,4.876941568047329
127,179,135.41346153846155,42.48844304733727,1.0980954142011683
128,158,135.50961538461542,40.14228920118342,-17.65190458579883
129,169,135.6923076923077,46.4692122781065,-13.161519970414204
130,188,135.625,52.76248150887573,-0.3874815088757373
131,192,NA,36.1567122781065,NA
132,173,NA,19.959596893491103,NA
133,177,NA,52.17113535502956,NA
134,190,NA,30.988443047337256,NA
135,191,NA,33.26248150887571,NA
136,148,NA,27.95959689349109,NA
137,157,NA,16.75286612426033,NA
138,171,NA,12.550943047337254,NA
139,141,NA,8.916327662721875,NA
140,141,NA,-13.175018491124272,NA
141,135,NA,-3.732710798816578,NA
142,117,NA,-10.626941568047345,NA
143,118,NA,-23.795210798816576,NA
144,120,NA,-25.37213387573965,NA
145,109,NA,-20.80001849112425,NA
146,127,NA,-23.977903106508855,NA
147,99,NA,-38.655787721893475,NA
148,97,NA,-51.4538646449704,NA
149,111,NA,-61.525980029585774,NA
150,82,NA,-52.843287721893454,NA
151,96,NA,-52.99713387573962,NA
152,73,NA,-32.91540310650885,NA
153,113,NA,-43.280787721893454,NA
154,92,NA,-35.31924926035501,NA
155,91,NA,-51.66540310650885,NA
156,81,NA,-36.78559541420114,NA
